TIME;ALT;LAT;LON;MASS;DYNPRESS;BEARING;HEADING;VERTSPEED;GROUNDSPEED;ANGMOMX;ANGMOMY;ANGMOMZ;ANGVELX;ANGVELY;ANGVELZ;MACH;TEMP_K;AIRDENS;PRESS_PA;THRUST
00:00:16;6502.78465320729;28.6082725524902;-80.6164321899414;0.0889317467808723;0.22377585822531;90.4526443481445;3.89001115763676E-06;259.150890967071;81.8541244644385;-0.00815207604318857;-0.000165300923981704;0.00018063053721562;-0.00817295629531145;0.00798729527741671;-0.000412044464610517;0.857866110331191;249.728668212891;0.625778321322106;44859.9243164063;0
00:00:17;6764.20129302796;28.6082668304443;-80.617301940918;0.0889317467808723;0.194263278120378;90.4498291015625;-1.94500535144471E-06;244.074478381214;80.2923853483714;-0.00893904455006123;-0.000114706279418897;0.000212256054510362;-0.00773236388340592;0.00939694512635469;-0.000655319541692734;0.813725352189007;248.094436645508;0.608115639489624;43308.4678649902;0
00:00:18;7010.50925268978;28.6082611083984;-80.6181488037109;0.0889317467808723;0.169335909543941;90.4483108520508;6.80751918480382E-06;230.032772830871;79.0087860243313;-0.00980716478079557;-8.0565718235448E-05;0.000246059789787978;-0.00764740258455276;0.0107431001961231;-0.000864422705490142;0.772671574882776;246.559661865234;0.591819298927714;41887.1459960938;0
00:00:19;7242.65405780543;28.6082553863525;-80.6189804077148;0.0889317467808723;0.148027916691685;90.4478454589844;0;216.791109362019;77.945081392371;-0.0107727497816086;-5.67417628190015E-05;0.000279599917121232;-0.00781504157930613;0.0121035370975733;-0.00106035894714296;0.734009820571153;245.1201171875;0.57675630110629;40582.6988220215;0
00:00:20;7461.37033097353;28.6082496643066;-80.6198043823242;0.0889317467808723;0.12963356417989;90.44873046875;-2.91750734504603E-06;204.17443060873;77.0537775559473;-0.0118441144004464;-3.990776167484E-05;0.000296768936095759;-0.00818177033215761;0.013515792787075;-0.00127355882432312;0.697226989775888;243.772232055664;0.562819247970913;39384.2697143555;0
00:00:21;7667.23345421068;28.6082439422607;-80.6206207275391;0.0889317467808723;0.113616903590466;90.4515075683594;0;192.047767836464;76.3033773658023;-0.0130674606189132;-2.8156586267869E-05;0.000351916096406057;-0.00873204041272402;0.0150667205452919;-0.00144501309841871;0.661943550599298;242.512756347656;0.549920054484;38282.8063964844;0
00:00:22;7860.69567152951;28.6082382202148;-80.6214294433594;0.0889317467808723;0.0995755523543517;90.4547119140625;1.94500466932368E-06;180.308045596542;75.6665129265856;-0.0144584830850363;-2.01466191356303E-05;0.00039561468292959;-0.0094594843685627;0.0167744513601065;-0.00164457061327994;0.62787933242555;241.338775634766;0.537985846687495;37270.7023620605;0
00:00:23;8042.11446138285;28.6082324981689;-80.6222305297852;0.0889317467808723;0.0872017178385534;90.4573287963867;-4.86251246911706E-06;168.874472662851;75.122353654538;-0.0160604603588581;-1.43870338433771E-05;0.000447827391326427;-0.010360524058342;0.0187089778482914;-0.00185836071614176;0.594829827625038;240.247894287109;0.526955010498557;36341.4916992188;0
00:00:24;8211.77302029077;28.608226776123;-80.6230316162109;0.0889317467808723;0.0762544519786557;90.4605102539063;0;157.684509059044;74.6518789883923;-0.0178789868950844;-1.0572904102446E-05;0.000496405584271997;-0.011435778811574;0.0208762679249048;-0.00210278946906328;0.562644173248063;239.243927001953;0.516762560286227;35489.6392822266;0
00:00:25;8369.89740451053;28.6082210540771;-80.6238250732422;0.0889317467808723;0.0665460338677794;90.4650268554688;-9.72502107288165E-07;146.689360017319;74.2386197746377;-0.0199962593615055;-7.54920120016322E-06;0.000553789432160556;-0.0127135720103979;0.0233864784240723;-0.00238037202507257;0.531229965731435;238.324920654297;0.507365258777167;34710.4148864746;0
